claim_id,object,field,value,unit,tenure,tier,area,applies_from,applies_to,source_url,quote,note
inc2006_onsite_15,inclusionary,"on-site share, all project types",15,% of units,,5+,citywide,,,https://sfbos.archive.sf.gov/ftp/uploadedfiles/bdsupvrs/ordinances06/o0219-06.pdf,applicant must constructzc ./5 times the total number,"The text layer reads "".15"" as ""./5""; the page (p. 32) shows ""10%"" struck and ""15%"" added, now applying also to CU/PUD/live-work projects."
inc2006_offsite_20,inclusionary,off-site share,20,% of units,,5+,citywide,,,https://sfbos.archive.sf.gov/ftp/uploadedfiles/bdsupvrs/ordinances06/o0219-06.pdf,H% 20% so that a project applicant must construct,The struck figure before 20% is garbled in the text layer.
inc2006_vesting,inclusionary,vesting: first site or building permit before the effective date keeps prior requirements,first site/building permit,,,,citywide,,,https://sfbos.archive.sf.gov/ftp/uploadedfiles/bdsupvrs/ordinances06/o0219-06.pdf,"projects that have received a first site or building permit prior to the effective date of this 3 legislation, the requirements in effect prior to the effective date of this ordinance shall apply",Section 315.3(d) as amended; the struck text before it had tied the requirements to application dates.
inc2006_passed,inclusionary,Ord. 219-06 finally passed,2006-08-01,,,,citywide,,,https://sfbos.archive.sf.gov/ftp/uploadedfiles/bdsupvrs/ordinances06/o0219-06.pdf,"FINALLY PASSED on August 1,2006",The Board's certification at the end of the enacted PDF.
inc2006_sep9,inclusionary,the 2006 amendments operative from,2006-09-09,,,,citywide,,,https://sfbos.archive.sf.gov/ftp/uploadedfiles/bdsupvrs/ordinances13/o0062-13.pdf,"approval on or after September 9, compliance option 2006","Table 415.3 (p. 8), two cells interleaved in the text layer. The page shows the rows 'On-Site units must be priced and sold at 90% of AMI...' (first site or building permit on or after September 9, 2006) and 'Project sponsor must select Program compliance option upon project approval...' (Planning approval on or after September 9, 2006)."
inc2006_enacted,inclusionary,Ord. 219-06 passed date in Legistar,2006-08-10,,,,citywide,,,https://webapi.legistar.com/v1/sfgov/matters?$filter=MatterFile eq '051685',"""MatterPassedDate"":""2006-08-10T00:00:00""",Legistar's record for File 051685. With the standard 30-day clause the effective date is on or about 2006-09-09 (inferred; the Board's pre-2011 lists print no effective date).
inc2013_table_fee20,inclusionary,"fee share, first application on or after 2006-07-18",20,% of units,,,citywide,2006-07-18,,https://sfbos.archive.sf.gov/ftp/uploadedfiles/bdsupvrs/ordinances13/o0062-13.pdf,20% Fee,"Table 415.3, row ""Affordable Housing Percentages""; the effective or operative date column reads: all projects that submitted a first application on or after July 18, 2006."
inc2013_table_onsite12,inclusionary,"on-site share, first application on or after 2006-07-18 (as of 62-13)",12,% of units,,,citywide,2006-07-18,,https://sfbos.archive.sf.gov/ftp/uploadedfiles/bdsupvrs/ordinances13/o0062-13.pdf,12% on-site*,"The page shows ""15"" struck and ""12"" added; the text layer garbles the struck figure."
inc2013_table_offsite20,inclusionary,"off-site share, first application on or after 2006-07-18",20,% of units,,,citywide,2006-07-18,,https://sfbos.archive.sf.gov/ftp/uploadedfiles/bdsupvrs/ordinances13/o0062-13.pdf,20% off-site*,
inc2013_table_july18,inclusionary,date column of the percentages row,2006-07-18,,,,citywide,,,https://sfbos.archive.sf.gov/ftp/uploadedfiles/bdsupvrs/ordinances13/o0062-13.pdf,"application on or after July 18, 2006 .J..§.12% on-site*",The table is two columns interleaved in the text layer; this is the date cell beside the percentages.
inc2013_threshold10,inclusionary,threshold back to 10: 5-9 unit projects without a first construction document by,2013-01-15,,,5-9,citywide,,2013-01-15,https://sfbos.archive.sf.gov/ftp/uploadedfiles/bdsupvrs/ordinances13/o0062-13.pdf,"construction document as of January 15,2013",
inc2013_table_disclaimer,inclusionary,the ordinances prevail over the table,yes,,,,citywide,,,https://sfbos.archive.sf.gov/ftp/uploadedfiles/bdsupvrs/ordinances13/o0062-13.pdf,the 23 implementing ordinances shall prevail,
inc2013_effective,inclusionary,Ord. 62-13 effective,2013-05-10,,,,citywide,,,https://sfbos.org/ordinances-2013,"121162 0062-13 05/10/2013 Planning Code - Inclusionary Affordable Housing Program, Updates, and Clarifications",
inc2016_fee20,inclusionary,"fee share, 10-24 units",20,% of units,,10-24,citywide,,,http://www.sfbos.org/ftp/uploadedfiles/bdsupvrs/ordinances16/o0076-16.pdf,The applicable percentage shall be 20% percent [or 19 housing development projects consisting of 10 dwelling units or more. but less than 25 dwelling units,"""[or"" is the OCR reading of ""for""."
inc2016_fee33,inclusionary,"fee share, 25+ units",33,% of units,,25+,citywide,,,http://www.sfbos.org/ftp/uploadedfiles/bdsupvrs/ordinances16/o0076-16.pdf,consisting of 25 dwelling units or more shall be 21 33%,
inc2016_onsite,inclusionary,"on-site share, 10-24 / 25+ units",12 / 25,% of units,,,citywide,,,http://www.sfbos.org/ftp/uploadedfiles/bdsupvrs/ordinances16/o0076-16.pdf,"that 12% or 25% percent, as applicable",
inc2016_fee_timing,inclusionary,fee due at first construction document,first construction document,,,,citywide,,,http://www.sfbos.org/ftp/uploadedfiles/bdsupvrs/ordinances16/o0076-16.pdf,at the time of and in no 1 O event later than issuance of the first construction document,
propc2016,inclusionary,Proposition C (Charter 16.110) approved by the voters,2016-06-07,,,,citywide,,,https://sfbos.archive.sf.gov/sites/default/files/o0158-17.pdf,"following voter approval of Proposition Cat the June 7, 2016 election to revise the 13 City Charter's inclusionary affordable housing requirements","Ord. 158-17, Section 2(a); the text layer runs 'Proposition C at' together."
propc2016_contingent,inclusionary,76-16's new percentages effective only with the June 2016 Charter amendment,Charter 16.110,,,,citywide,,,http://www.sfbos.org/ftp/uploadedfiles/bdsupvrs/ordinances16/o0076-16.pdf,"will become effective only on the effective date of the 16 Charter amendment revising Section 16.110 at the June 7, 2016 election",
propc2012,inclusionary,Proposition C (November 2012) codified in part as Charter 16.110,2012-11,,,,citywide,,,http://www.sfbos.org/ftp/uploadedfiles/bdsupvrs/ordinances16/o0076-16.pdf,In ~V-ovember 2012 the voters amended the Charter by adopting Pr0J3osition C,Struck text in Ord. 76-16's Section 415.1; the text layer garbles it. It names the Housing Trust Fund amendment; its terms were not read.
ord_effective_30days,procedure,SF ordinances take effect 30 days after enactment,30 days,,,,citywide,,,http://www.sfbos.org/ftp/uploadedfiles/bdsupvrs/ordinances16/o0076-16.pdf,This ordinance shall become effective 30 days after 16 enactment,"The standard effective-date clause, here in Ord. 76-16, Section 9."
inc2016_effective,inclusionary,Ord. 76-16 effective,2016-06-12,,,,citywide,,,https://sfbos.org/ordinances-2016,"160255 0076-16 06/12/2016 Planning, Administrative Codes - Inclusionary Affordable Housing Fee and Requirements",
inc2017_effective,inclusionary,Ord. 158-17 effective,2017-08-26,,,,citywide,,,https://sfbos.org/ordinances-2017,161351 0158-17 08/26/2017 Planning Code - Inclusionary Affordable Housing Fee and Dwelling Unit Mix Requirements,
inc2017_cutoff,inclusionary,the keep-prior-requirements cutoff moved from 2013-01-01 to 2016-01-12,2016-01-12,,,,citywide,,,https://sfbos.archive.sf.gov/sites/default/files/o0158-17.pdf,"application prior to January 4, ~ 12, 2016 shall comply with the Affordable Housing Fee","Section 415.3(b). The page (p. 6) shows ""1, 2013"" struck and ""12, 2016"" inserted; the text layer reads the struck part as ""4, ~""."
inc2017_after2016,inclusionary,EEA after 2016-01-12: Sections 415.5-415.7 as applicable,2016-01-12,,,,citywide,,,https://sfbos.archive.sf.gov/sites/default/files/o0158-17.pdf,"Any development project that submits an Environmental Evaluation 18 application after January 12, 2016, shall comply with the requirements set forth in Planning 19 Code Sections 415.5, 415.6 and 415.7, as applicable",Unchanged text carried from Ord. 76-16. It does not say which version of 415.5-415.7 applies to a project filed between 2016-01-12 and 2017-08-26.
cod_4153_pre2016,inclusionary,complete EEA before 2016-01-12 keeps the requirements in effect on 2016-01-12,2016-01-12,,,,citywide,,,https://web.archive.org/web/20201203043840id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23840,"any development project that has submitted a complete Environmental Evaluation application prior to January 12, 2016 shall comply with the Affordable Housing Fee requirements",
cod_4153_25plus,inclusionary,grandfathering tiers apply to projects of 25+ units with EEA on or after 2013-01-01,2013-01-01,,,,citywide,,,https://web.archive.org/web/20201203043840id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23840,"For development projects that have submitted a complete Environmental Evaluation application on or after January 1, 2013, the requirements set forth in Planning Code Sections 415.5 , 415.6 , and 415.7 shall apply to certain development projects consisting of 25 dwelling units or more",
cod_4153_on13,inclusionary,"on-site, 25+, EEA before 2014-01-01",13,% of units,,25+,citywide,2013-01-01,2013-12-31,https://web.archive.org/web/20201203043840id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23840,"prior to January 1, 2014 shall provide affordable units in the amount of 13% of the number of units constructed on-site",
cod_4153_on135,inclusionary,"on-site, 25+, EEA before 2015-01-01",13.5,% of units,,25+,citywide,2014-01-01,2014-12-31,https://web.archive.org/web/20201203043840id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23840,"prior to January 1, 2015 shall provide affordable units in the amount of 13.5% of the number of units constructed on-site",
cod_4153_on145,inclusionary,"on-site, 25+, EEA on or before 2016-01-12",14.5,% of units,,25+,citywide,2015-01-01,2016-01-12,https://web.archive.org/web/20201203043840id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23840,"on or prior to January 12, 2016 shall provide affordable units in the amount of 14.5% of the number of units constructed on-site",
cod_4153_fee25,inclusionary,"fee/off-site, 25+, EEA before 2014-01-01",25,% of units,,25+,citywide,2013-01-01,2013-12-31,https://web.archive.org/web/20201203043840id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23840,"prior to January 1, 2014, shall pay a fee or provide off-site housing in an amount equivalent to 25% of the number of units constructed on-site",
cod_4153_fee275,inclusionary,"fee/off-site, 25+, EEA before 2015-01-01",27.5,% of units,,25+,citywide,2014-01-01,2014-12-31,https://web.archive.org/web/20201203043840id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23840,"prior to January 1, 2015, shall pay a fee or provide off-site housing in an amount equivalent to 27.5% of the number of units constructed on-site",
cod_4153_fee30,inclusionary,"fee/off-site, 25+, EEA on or before 2016-01-12",30,% of units,,25+,citywide,2015-01-01,2016-01-12,https://web.archive.org/web/20201203043840id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23840,"on or prior to January 12, 2016 shall pay a fee or provide off-site housing in an amount equivalent to 30% of the number of units constructed on-site",
cod_4153_deadline,inclusionary,grandfathered tiers lapse if not approved on or before 2018-12-07,2018-12-07,,,,citywide,,,https://web.archive.org/web/20201203043840id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23840,"In the event the project has not been approved, which shall mean approval following any administrative appeal to the relevant City board, on or before December 7, 2018",
cod_4153_exempt,inclusionary,projects with a final first discretionary approval on or before 2016-01-12 keep their existing approvals,2016-01-12,,,,citywide,,,https://web.archive.org/web/20201203043840id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23840,"any housing development project that has procured a final first discretionary development entitlement approval, which shall mean approval following any administrative appeal to the relevant City board, on or before January 12, 2016",
cod_4153_threshold,inclusionary,unit threshold,10,units,,,citywide,,,https://web.archive.org/web/20201203043840id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23840,shall apply to any housing project that consists of 10 or more units,
cod_4155_fee20,inclusionary,"fee share, 10-24 units",20,% of units,,10-24,citywide,,,https://web.archive.org/web/20201126234751id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23886,"For housing development projects consisting of 10 dwelling units or more, but less than 25 dwelling units, the applicable percentage shall be 20%",
cod_4155_fee33,inclusionary,"fee share, 25+ owned",33,% of units,ownership,25+,citywide,,,https://web.archive.org/web/20201126234751id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23886,the applicable percentage shall be 33% if such units are Owned Units,
cod_4155_fee30,inclusionary,"fee share, 25+ rental",30,% of units,rental,25+,citywide,,,https://web.archive.org/web/20201126234751id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23886,the applicable percentage shall be 30% if such units are Rental Units in a Rental Housing Project,
cod_4155_vesting,inclusionary,vesting: fee fixed by the date of a complete EEA,complete EEA date,,,,citywide,,,https://web.archive.org/web/20201126234751id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23886,The applicable amount of the inclusionary housing fee shall be determined based upon the date that the project sponsor has submitted a complete Environmental Evaluation application,
cod_4155_30months,inclusionary,vesting lapses without a building or site permit within 30 months of approval,30 months,,,,citywide,,,https://web.archive.org/web/20201126234751id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23886,In the event the project sponsor does not procure a building permit or site permit for construction of the principal project within 30 months of the project's approval,
cod_4155_timing,inclusionary,fee paid at the time required by Section 402(d),402(d),,,,citywide,,,https://web.archive.org/web/20201126234751id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23886,at the time required by Section 402 (d),
cod_4155_dbl,inclusionary,fee imposed on density-bonus units,yes,,,,citywide,,,https://web.archive.org/web/20201126234751id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23886,The fee shall be imposed on any additional units or square footage authorized and developed under California Government Code Sections 65915 et seq.,
cod_4156_on12,inclusionary,"on-site, 10-24 units",12,% of units,,10-24,citywide,,,https://web.archive.org/web/20201126041954id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23919,the number of affordable units constructed on-site shall generally be 12% of all units constructed on the project site,
cod_4156_on20,inclusionary,"on-site, 25+ owned",20,% of units,ownership,25+,citywide,,,https://web.archive.org/web/20201126041954id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23919,"For any housing development project consisting of 25 or more Owned Units, the number of affordable units constructed on-site shall generally be 20%",
cod_4156_on18,inclusionary,"on-site, 25+ rental",18,% of units,rental,25+,citywide,,,https://web.archive.org/web/20201126041954id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23919,"For any Rental Housing Project consisting of 25 or more Rental Units, the number of affordable units constructed on-site shall generally be 18%",
cod_4156_esc_small,inclusionary,escalation 10-24: +0.5 each January 1 from 2018 to 15%,0.5,percentage points a year,,10-24,citywide,2018-01-01,,https://web.archive.org/web/20201126041954id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23919,"Starting on January 1, 2018, and no later than January 1 of each year thereafter, MOHCD shall increase the percentage of units required on-site for projects consisting of 10 - 24 units, as set forth in Section 415.6 (a)(1), by increments of 0.5% each year, until such requirement is 15%",
cod_4156_esc_large1,inclusionary,escalation 25+: +1.0 for 2018 and 2019,1.0,percentage points a year,,25+,citywide,2018-01-01,2019-12-31,https://web.archive.org/web/20201126041954id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23919,"For all development projects with 25 or more Owned or Rental Units, the required on-site affordable ownership housing to satisfy this Section 415.6 shall increase by 1.0% annually for two consecutive years starting January 1, 2018",
cod_4156_esc_large2,inclusionary,escalation 25+: +0.5 each year from 2020,0.5,percentage points a year,,25+,citywide,2020-01-01,,https://web.archive.org/web/20201126041954id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23919,"Starting January 1, 2020, the increase to on-site rental and ownership developments with 25 or more units shall increase by 0.5% annually",
cod_4156_caps,inclusionary,"caps: 26 owned, 24 rental",26 / 24,% of units,,25+,citywide,,,https://web.archive.org/web/20201126041954id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23919,The total on-site inclusionary affordable housing requirement shall not exceed 26% for development projects consisting of Owned Units or 24% for development projects consisting of Rental Units,
cod_4156_vesting,inclusionary,vesting: on-site share fixed by the date of a complete EEA,complete EEA date,,,,citywide,,,https://web.archive.org/web/20201126041954id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23919,The applicable amount of the percentage required for the on-site housing units shall be determined based upon the date that the project sponsor has submitted a complete Environmental Evaluation application,
cod_4156b_same,inclusionary,the 2022 text keeps the rates (Ownership/Rental Housing Project wording),20 / 18,,,,citywide,,,https://web.archive.org/web/20220814112231id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23919,"For any Ownership Housing Project consisting of 25 or more units, the number of Affordable Units constructed on-site shall generally be 20%",
inc2023_effective,inclusionary,Ord. 201-23 effective,2023-11-12,,,,citywide,,,https://sfbos.org/ordinances-2023,"230855 0201-23 11/12/2023 Planning, Administrative Codes - Development Impact Fee Reductions",
a415_pipeline,inclusionary,Pipeline Project: approved before 2023-11-01 with no first construction document by then,2023-11-01,,,,citywide,,,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,"""Pipeline Proiect"" means a residential or live/work proiect that (]) is subiect to the Inclusionary Affordable Housing Ordinance, Planning Code Section 415.1 et seq., and (2) was Finally Approved prior to November 1, 2023, and (3) has not been issued a First Construction Document prior to November 1, 2023",
a415_final_approval,inclusionary,"Final Approval: approval of the first Development Application, unless appealed",first development application,,,,citywide,,,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,"""Finally Approved"" or ""Final Approval"" shall mean(]) approval of a proiect's first Development Application, unless such approval is appealed",
a415_request,inclusionary,pipeline sponsors may request the reduction on or before 2026-11-01,2026-11-01,,,,citywide,,,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,"On or before November 1, 2026, pro;ect sponsors of Pipeline Pro;ects shall be entitled to request a modification",
a415_fee164,inclusionary,"pipeline fee share, 10+ units",16.4,% of units,,10+,citywide,,,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,Ownership or Rental Housing Pipeline Pro;ects consisting of:J:a 10 units or more. the applicable percentage shall be 16. 4%,"Section 415A.4(a)(1). The page (p. 7) shows ""25"" struck and ""10"" inserted."
a415_onsite12_small,inclusionary,"pipeline on-site share, 10-24 units",12,% of units,,10-24,citywide,,,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,"For Pipeline Projects consisting of 10 units or more, but less than 25 units, the applicable percentage shall be 12%",
a415_onsite12_large,inclusionary,"pipeline on-site share, 25+ units",12,% of units,,25+,citywide,,,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,For Pipeline Proiects consisting of 25 units or more. the number of Affordable Units constructed on-site shall be 12% of all units constructed on the proiect site,
a415_offsite164,inclusionary,"pipeline off-site share, 25+ units",16.4,% of units,,25+,citywide,,,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,For Pipeline Proiects consisting of 25 units or more. the applicable percentage shall be 16. 4%,
b415_window,inclusionary,"415B: approved 2023-11-01 to 2026-11-01, first construction document within 30 months",2023-11-01 to 2026-11-01,,,,citywide,,,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,"Finally Approved, as defined in Planning Code Section 415A.2, between November 1, 2023 and November 1. 2026, provided that such proiects receive a First Construction Document within 30 months from Final Approval",
b415_fee205,inclusionary,"415B fee share, 25+ units",20.5,% of units,,25+,citywide,,,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,"SB.1. AFFORDABLE HOUSING FEE. If a proiect sponsor elects to pay the a/fordable housing fee under Section 415. 5, the proiect shall comply the requirements set forth in Section 415. e5(b)(I ), except as follows: (a) For any housing development consisting of25 units or more, the applicable percentage shall be 20. 5%",
b415_onsite15,inclusionary,"415B on-site share, 25+ units",15,% of units,,25+,citywide,,,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,"consisting of25 or more units, the number of Affordable Units constructed on-site shall be 15% of all units constructed on the proiect site",
area_specific_rates,inclusionary,"areas with their own requirement: SUDs, area plans, 415.3(d), 419 (UMU), 428",area-specific,,,,citywide,,,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,"located in an area with a specific affordable housing requirement set forth in a Special Use District, Area Plan. or in any other section ofthe Code, including 415.3(d), 419, or 428",
b415_sunset,inclusionary,415B expires 2026-11-01 unless extended,2026-11-01,,,,citywide,,,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,"This section 415B shall expire by operation o[law on November 1, 2026",
o201_operative,inclusionary,Section 7 (the new 415.3-415.7) operative,2026-11-21,,,,citywide,,,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,"Section 7 of this ordinance, amending Planning Code Section 415.3, 415.5, 415.6, 415.7, 419.3, 428 and 428.3, shall become operative on November 21, 2026",Unless the City changes the operative date or the amendments before then.
o201_2026_fee27,inclusionary,"2026 schedule: fee share, 25+ owned",27,% of units,ownership,25+,citywide,2026-11-21,,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,"For development projects consisting of 25 units or more, the applicable percentage shall be 27%J.:J-% if such units are Owned Units","The text layer garbles the struck ""33%""."
o201_2026_fee245,inclusionary,"2026 schedule: fee share, 25+ rental",24.5,% of units,rental,25+,citywide,2026-11-21,,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,"applicable percentage shall be 24.5o/oJ.f)!#, if the development project is a Rental Housing Project","The page (p. 26) shows ""24.5%"" inserted and ""30%"" struck."
o201_2026_onsite15,inclusionary,"2026 schedule: on-site share, 10-24 units",15,% of units,,10-24,citywide,2026-11-21,,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,"consisting of IO dwelling units or more, but less than 25 dwelling units, the number of affordable units constructed on-site shall generally be 15% of all units",
o201_2026_fee20,inclusionary,"2026 schedule: fee share, 10-24 units",20,% of units,,10-24,citywide,2026-11-21,,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,"(A) For housing development projects consisting of 10 units or more, but less than 25 units, the applicable percentage shall be 20%. (B) For development projects consisting of 25 units or more, the applicable percentage shall be 27%",
o201_2026_on20o,inclusionary,"2026 schedule: on-site share, 25+ ownership",20,% of units,ownership,25+,citywide,2026-11-21,,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,"(2) For any Ownership Housing Proiect consisting of25 or more units, the number of Affordable Units constructed on-site shall generally be 20% of all units",
o201_2026_on18r,inclusionary,"2026 schedule: on-site share, 25+ rental",18,% of units,rental,25+,citywide,2026-11-21,,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,"Rental Housing Proiect consisting of25 or more units, the number of Affordable Units constructed on-site shall generally be I 8% of all units","OCR reads ""18%"" as ""I 8%""."
o201_2026_off27o,inclusionary,"2026 schedule: off-site share, 25+ ownership",27,% of units,ownership,25+,citywide,2026-11-21,,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,"Ownership Housing Project consisting of 25 or more units, the number of Affordable Units constructed off-site shall be .JJ..%27% of all units","The text layer garbles the struck ""33%""."
o201_2026_esc,inclusionary,2026 schedule: the 25+ escalation restarts on 2028-01-01,2028-01-01,,,,citywide,,,https://sfbos.archive.sf.gov/sites/default/files/o0201-23.pdf,"Starting on January 1, ~2028, and no later than January 1 of ea","The page (p. 31) shows ""2018"" struck and ""2028"" inserted, and the 10-24 escalation struck."
fee_402d_timing,impact fees,all impact fees due at the first construction document,first construction document,,,,citywide,,,https://web.archive.org/web/20201202062907id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23425,"All impact fees are due and payable to the Development Fee Collection Unit at DBI at the time of, and in no event later than, issuance of the ""first construction document""",
fee_409_index,impact fees,annual January 1 adjustment by the Annual Infrastructure Construction Cost Inflation Estimate (not the inclusionary fee),January 1,,,,citywide,,,https://web.archive.org/web/20210507203214id_/https://codelibrary.amlegal.com/codes/san_francisco/latest/sf_planning/0-0-0-23466,shall adjust the dollar amount of any development fee on an annual basis every January 1 based solely on the Annual Infrastructure Construction Cost Inflation Estimate,
fee_rate_at_payment,impact fees,"before 2023-10-16: the rate in force when the fee is paid, whatever the filing date",payment date,,,,citywide,,,https://web.archive.org/web/20190915185307if_/https://sfplanning.org/sites/default/files/forms/Impact_Fee_Schedule.pdf,"The adjusted fee rates apply to development impact fees paid on or after the effective date of any such fee adjustments, regardless of the date of permit filing",The register's own introduction; the 2016 and 2018 registers carry the same sentence.
fee_193_approval,impact fees,"from 2023-10-16: types and rates fixed at Final Approval, no later increase (not the inclusionary fee)",final approval,,,,citywide,,,https://sfbos.archive.sf.gov/sites/default/files/o0193-23.pdf,"with the exception of the Inclusionary Housing Fee as set forth in Section 415 et seq., the assessment shall be based on the types of fees and the rates o{those fees in effect at the time of Final Approval",
