id,name,flag,reason
bna4-itif,Landslide Susceptibility Hazard Zones,possibly useful,A physical-hazard zone: a construction-cost shifter; check against demand_estimation's hazard layers first.
bnc6-9btz,Historic Height & Bulk Districts - 2013,not relevant,A map view; the dataset it draws carries the data.
btm4-e4ak,San Francisco Communitywide Greenhouse Gas Inventory,not relevant,An energy or emissions dataset for existing buildings.
bwbp-wk3r,Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods - Map,not relevant,A map view; the dataset it draws carries the data.
by3b-5pje,Map of Historic Zoning Districts - 2011,not relevant,A map view; the dataset it draws carries the data.
c5ge-t6pj,San Francisco Land Use,possibly useful,Current land use by parcel; a cross-check on assessor use codes.
cez4-442n,Commerce & Industry Inventory 2011 Data,not relevant,"Annual commerce and industry reports as documents, 2011--2012."
cf6e-9e4j,Public Art (from 1% Art Program),possibly useful,"An obligation commonly imposed as a condition (open space, public art): a cross-check on condition content."
cfhj-8c6b,Historical Zoning Districts - April 2000,not relevant,Same row count as a cached vintage of the same year; appears to be a duplicate publication.
ch9w-7kih,Curb Ramps,not relevant,A Public Works street or right-of-way dataset; not a land-use decision.
cne3-h93g,San Francisco Flood Health Vulnerability,not relevant,Matches the word 'planning' in its text; nothing to do with land-use regulation.
cw8k-gwb7,"Building Permits with Contractor, Subcontractor, Architect, Designer, or Engineer",possibly useful,"Permits with their architects, engineers and expediters: the repeat players in the permit market."
d3dc-v5yr,General Obligation (GO) Bond Projects,not relevant,Matches the word 'planning' in its text; nothing to do with land-use regulation.
d4jk-jw33,Planning Department Project Application Review metrics,core,"Record-level Planning review-time metrics keyed on the Accela record number: the delay the paper measures, from the department's own clock."
d6pi-gknj,Hayward M7.0 Earthquake Scenario,possibly useful,A physical-hazard zone: a construction-cost shifter; check against demand_estimation's hazard layers first.
d7vm-pqzv,Historic Zoning Districts - March 2005,not relevant,A map view; the dataset it draws carries the data.
dni7-qpv3,SFMTA General Transit Feed Specification (GTFS) Production,not relevant,A transportation dataset; the word 'planning' appears in its text.
dyxq-hen7,2015 Project Appendix Map,not relevant,A map view; the dataset it draws carries the data.
dztp-vt7z,Dataset Inventory Explorer,not relevant,"A story presenting the dataset inventory, which is listed separately."
ee6v-jtbt,Article 11 Rating,not relevant,A map view; the dataset it draws carries the data.
eh2b-k988,Downtown Plan Monitoring Report 2012,possibly useful,Downtown Plan monitoring: office-space totals behind the office-allocation docket.
ejht-vp5d,Article 11 Rating,possibly useful,A historic designation that brings a project before a commission; overlaps the parcel-keyed historic status already listed.
ekvb-kch8,Historic Zoning Maps,possibly useful,"Scanned zoning maps from 1921 onward: the only pre-1998 zoning on the portal, as images."
esku-ejgv,"100-Year Storm + 24"" Sea Level Rise",possibly useful,A physical-hazard zone: a construction-cost shifter; check against demand_estimation's hazard layers first.
et47-hd49,Historic Special Use Districts - 2015,not relevant,A map view; the dataset it draws carries the data.
ewnu-9y3h,Proposed Commercial Wireless Telecommunication Services Facilities in San Francisco,possibly useful,Wireless facilities: wireless conditional uses are a large share of the CU docket.
f2jc-ivnc,Building Permits Deduplicated on Primary Address,possibly useful,DBI's own deduplication on primary address; a check on the earliest-filed collapse rule.
f883-k722,Historic Zoning Districts - 2004,not relevant,A map view; the dataset it draws carries the data.
f8bh-m8ez,Equity Strategy Neighborhoods,not relevant,A transportation dataset; the word 'planning' appears in its text.
fdfd-xptc,[ARCHIVED] San Francisco Land Use - 2023,possibly useful,An archived land-use vintage; with the current layer it makes a land-use panel.
ff3a-iqhv,Areas Damaged by Fire Following 1906 Earthquake,not relevant,A historical fire boundary from 1906.
ff5j-uv3a,Historic Special Use Districts - 2012,possibly useful,A dated special-use district vintage; the zoning panel carries only the current SUD layer.
ff7h-99em,"Map of 108"" Inundation Vulnerability Zone Line (Sea Level Rise + 100YR Flood Event)",not relevant,A map view; the dataset it draws carries the data.
fhn6-zx2j,Downtown Plan Monitoring Report 2013,possibly useful,Downtown Plan monitoring: office-space totals behind the office-allocation docket.
fi63-bg5f,Tenderloin COVID-19 Response: Sanitation Map,not relevant,A map view; the dataset it draws carries the data.
fizh-zaxt,AHBP_eligible_parcels,possibly useful,Parcels eligible for the Affordable Housing Bonus Program: a dated policy treatment by parcel.
ftvx-vtyc,Historic Zoning Districts - 2002,not relevant,A map view; the dataset it draws carries the data.
g2t6-cyw6,On-street Carshare Parking,not relevant,A transportation dataset; the word 'planning' appears in its text.
g4ye-s75w,Vehicle Miles Traveled Estimates from SF-CHAMP – 2012,not relevant,"A 2012 travel-model output; transport, not entitlement."
g6kh-9pnv,Mayor's Office of Housing and Community Development Non-Unit Inclusionary Housing Alternatives,possibly useful,"How projects met the inclusionary requirement, and the affordable portfolio, with case or permit numbers."
g9f8-pkcz,Zoning Map - Special Sign Districts,not relevant,"Sign districts: they govern signs, which the development universe excludes."
gfpk-269f,SF Find Neighborhoods,possibly useful,"A Planning Department administrative geography (district, area, team boundary), useful only as a grouping."
gtnh-hgvs,City Lands,possibly useful,City-owned land: a cross-check on the risk set's public-land restriction.
gu4h-44qp,Historic Height & Bulk Districts - 2014,core,"A height-and-bulk vintage, joined spatially into the zoning panel."
gzxm-jz5j,Building Permit Application Issuance Metrics,possibly useful,DBI's own filing-to-issuance and review-step metrics by permit; a check on the permit clock.
h3jp-c25d,City Employment Compensation Plan,not relevant,Matches the word 'planning' in its text; nothing to do with land-use regulation.
h5j5-ymyb,Map of natural gas-fueled equipment in municipally owned buildings,not relevant,A map view; the dataset it draws carries the data.
h5q5-vfti,SFMTA - Mobility Data Specification,not relevant,A transportation dataset; the word 'planning' appears in its text.
h5vv-2u24,Land Use with Active Parcel Information,possibly useful,The 2023 land use pre-joined to active parcels.
h9wh-cg3m,Zoning Map - Height and Bulk Districts,core,A current zoning-map layer carried forward in the panel from 2016.
hbc8-ncn7,Historic Special Use Districts -2013,possibly useful,A dated special-use district vintage; the zoning panel carries only the current SUD layer.
hg44-eza7,Historic Zoning Districts - 2014,core,"A polygon zoning vintage, joined spatially into the zoning panel."
hkz3-itiu,Slow Streets,not relevant,A transportation dataset; the word 'planning' appears in its text.
hmft-3hxr,SF County Line 2020 Reestablishment,not relevant,A Public Works street or right-of-way dataset; not a land-use decision.
hqsk-4xmh,Maher,not relevant,A map view; the dataset it draws carries the data.
hxy5-cgnc,Affordable Housing Bonus Program Zoning Districts and Eligible Parcels,not relevant,A map view; the dataset it draws carries the data.
hycf-nc3x,Map of Landmarks Listed in Article 10 of the San Francisco Planning Code,not relevant,A map view; the dataset it draws carries the data.
hyj5-mm3b,Green Benefit Districts,not relevant,Greening and landscape layers with no bearing on entitlement.
i4t7-35u3,Soil Liquefaction Hazard Zone,possibly useful,A physical-hazard zone: a construction-cost shifter; check against demand_estimation's hazard layers first.
i8ew-h6z7,San Francisco Property Information Map,possibly useful,"A link to the Property Information Map, the per-parcel case and permit history; not a dataset."
i926-ujnc,Large Utility Excavation Permits,not relevant,A Public Works street or right-of-way dataset; not a land-use decision.
i98e-djp9,Building Permits,core,"DBI's permit record, the construction-outcome side of every linkage tier."
iacs-ws63,Planning Neighborhood Groups Map,not relevant,A map view; the dataset it draws carries the data.
ibu8-4ccn,Zoning Map - Zoning Districts,not relevant,A map view; the dataset it draws carries the data.
iqtk-etij,"Maternal, Child, and Adolescent Health Needs Assessment, 2023-2024",not relevant,Matches the word 'planning' in its text; nothing to do with land-use regulation.
itx2-wzp5,Historic Zoning Districts - 2000,core,A parcel-keyed zoning vintage; one year of the zoning panel.
j2bu-swwd,Analysis Neighborhoods,possibly useful,Analysis neighbourhoods and their tract crosswalk: the geography the permit comparison uses.
j67f-aayr,Dwelling Unit Completion Counts by Building Permit,possibly useful,Units certified by building permit; reachable through the permit bridge.
j6i5-prai,Travel Decision Survey Data 2013,not relevant,A transportation dataset; the word 'planning' appears in its text.
jfw5-qwcg,[DEPRECATED] Historic Resources,not relevant,Deprecated; replaced by a newer asset.
jgws-wax9,Map of Building Permits,not relevant,A map view; the dataset it draws carries the data.
jn35-yfmd,Historic Zoning Districts - 2014,not relevant,A map view; the dataset it draws carries the data.
jud5-ja46,Historic Zoning Districts - 2009,core,"A polygon zoning vintage, joined spatially into the zoning panel."
jxv4-h25i,Map of SF County Line 2020,not relevant,A map view; the dataset it draws carries the data.
jyce-e25k,FEMA FIRM Flood Hazards (Coastal) - 2021 Update,possibly useful,A physical-hazard zone: a construction-cost shifter; check against demand_estimation's hazard layers first.
jzu3-4yxp,100-Year Storm Flood Risk Zone (July 2022),possibly useful,A physical-hazard zone: a construction-cost shifter; check against demand_estimation's hazard layers first.
k2rm-926a,SFEC Form 3410B - Quarterly Report for Permit Consultants Filings,possibly useful,Registered permit consultants and their filings: who is paid to move permits.
k55i-dnjd,San Francisco Development Pipeline,not relevant,A map view; the dataset it draws carries the data.
k5ee-yrip,Priority Development Areas,possibly useful,Priority Development Areas: a regional policy geography.
k8na-jk8h,Map of Mayor's Office of Housing and Community Development Affordable Housing Portfolio,not relevant,A map view; the dataset it draws carries the data.
k8rg-ihdq,Map of San Francisco Land Use - 2023,not relevant,A map view; the dataset it draws carries the data.
kmx9-ph84,Historic Special Use Districts - 2010,not relevant,A map view; the dataset it draws carries the data.
kncr-c6jw,SF Planning Permitting Data [Deprecated],not relevant,Deprecated and empty (zero rows); replaced by the records tables already cached.
knm6-5ej6,Landmark Districts,possibly useful,A historic designation that brings a project before a commission; overlaps the parcel-keyed historic status already listed.
kspe-fmej,Historic Zoning Districts - 2003,not relevant,A map view; the dataset it draws carries the data.
kvek-u79k,"Building Permits Lookup by Contractor, Subcontractor, Architect, Designer, or Engineer",not relevant,"A chart or story built on DBI's permits, which are cached whole."
kxax-c386,Zoning Map - Height and Bulk Districts,not relevant,A map view; the dataset it draws carries the data.
kyw5-5shs,Planning Districts,possibly useful,"A Planning Department administrative geography (district, area, team boundary), useful only as a grouping."
m26n-jhf2,Inventory of web domains managed by City and County departments,not relevant,Matches the word 'planning' in its text; nothing to do with land-use regulation.
m46u-xzix,Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods,possibly useful,Analysis neighbourhoods and their tract crosswalk: the geography the permit comparison uses.
manb-7mxp,Historic Zoning Districts - 2013,not relevant,A map view; the dataset it draws carries the data.
mr6h-cr3u,Covid-19 Pit Stops,not relevant,A Public Works street or right-of-way dataset; not a land-use decision.
mw29-m2za,Planning Neighborhood Groups Map,possibly useful,Neighbourhood-group notification boundaries: the geography of who is noticed.
mx8n-vbe2,Management Classification and  Compensation Plan Pay Ranges,not relevant,Matches the word 'planning' in its text; nothing to do with land-use regulation.
n644-pp3v,Permits Issued (Jan 2013 - Current),not relevant,"A chart or story built on DBI's permits, which are cached whole."
nfxf-sv4m,City Facilities - Planning Jurisdiction or Leased,not relevant,"City capital projects and facilities; public works, not private development."
nh4m-jbyj,Historic Height & Bulk Districts - 2012,core,"A height-and-bulk vintage, joined spatially into the zoning panel."
ni2e-vpbg,Urban Tree Canopy,not relevant,Greening and landscape layers with no bearing on entitlement.
njrt-gtwr,[DEPRECATED] Historic Resources,not relevant,Deprecated; replaced by a newer asset.
nn26-kuy2,HAQR Priority Green Infrastructure Zones,possibly useful,A sea-level-rise or climate overlay: a long-run cost shifter; check against demand_estimation first.
nrnx-fegt,Commerce & Industry Inventory 2012,not relevant,"Annual commerce and industry reports as documents, 2011--2012."
ntc3-dd64,Neighborhood-Specific Impact Fee Areas,core,The geographic side of the impact-fee schedule; joined to parcels.
p4e4-a5a7,"Building Permits filed on or after January 1, 2013",not relevant,"A date-filtered view of DBI's permits, which are cached whole."
p5b7-5n3h,Analysis Neighborhoods,not relevant,A map view; the dataset it draws carries the data.
pdvd-w2q4,Historic Zoning Districts - 2001,not relevant,A map view; the dataset it draws carries the data.
pe87-v8tx,Historic Zoning Districts - 2007,core,A parcel-keyed zoning vintage; one year of the zoning panel.
phns-r8sy,HSS-View-Enrollment_all_Lives_5y,not relevant,Matches the word 'planning' in its text; nothing to do with land-use regulation.
piqy-pimd,Historic Zoning Districts - 1998,core,A parcel-keyed zoning vintage; one year of the zoning panel.
prs8-k8k3,Historical Zoning Districts - April 2000,not relevant,A map view; the dataset it draws carries the data.
pty2-tcw4,SF Find Neighborhoods,not relevant,A map view; the dataset it draws carries the data.
pyxv-n29e,Mayor's Office of Housing and Community Development Affordable Housing Portfolio,possibly useful,"How projects met the inclusionary requirement, and the affordable portfolio, with case or permit numbers."
q6gg-sa2p,SF Crime Heat Map,not relevant,A map view; the dataset it draws carries the data.
q7uq-hghg,"Tsunami Inundation Hazard Zone (Outdated, 2015)",not relevant,Superseded by the 2021 tsunami layer listed above.
q8g4-wqta,Green Connections Network,not relevant,A map view; the dataset it draws carries the data.
qbf8-heuf,San Francisco Land Use 2023 (No Geom),possibly useful,An archived land-use vintage; with the current layer it makes a land-use panel.
qcxd-tp4u,Historic Height & Bulk Districts - 2011,not relevant,A map view; the dataset it draws carries the data.
qf4b-pv4d,Capital Budget for General Fund Departments (2005-06 to present),not relevant,"City capital projects and facilities; public works, not private development."
qfj2-m7ux,Permanent Civil Service (PCS) Appointments,not relevant,Matches the word 'planning' in its text; nothing to do with land-use regulation.
qqn9-j3rz,MTA.equitystrategy_nhoods_data,not relevant,A transportation dataset; the word 'planning' appears in its text.
qqnk-bwbc,MTA.paintedsafetyzones,not relevant,A map view; the dataset it draws carries the data.
qrwx-q4gg,Street Tree Removal Notifications,not relevant,A Public Works street or right-of-way dataset; not a land-use decision.
qvu5-m3a2,Planning Department Records - Projects,core,"The Planning Department's own records: filing dates, the building_permits bridge, unit counts."
r6jz-e8rw,Map of Historic Special Use Districts -2013,not relevant,A map view; the dataset it draws carries the data.
r6rs-2mxu,Civic Center Cultural Landscape Inventory,not relevant,A cultural landscape inventory of one civic district.
rqw6-h7c5,Map of 2020 Census Tracts Assigned to Analysis Neighborhoods,not relevant,A map view; the dataset it draws carries the data.
rt4q-mf68,Historic Zoning Districts - 2011,core,"A polygon zoning vintage, joined spatially into the zoning panel."
rwdp-2k4t,Historic Height & Bulk Districts - 2011,core,"A height-and-bulk vintage, joined spatially into the zoning panel."
rxfc-8aap,Zoning Map - Special Use Districts,core,A current zoning-map layer carried forward in the panel from 2016.
rxim-5dpc,Historic Zoning Districts - 2007,not relevant,A map view; the dataset it draws carries the data.
ry69-hnut,Zoning Map - Special Use Districts,not relevant,A map view; the dataset it draws carries the data.
rzic-39gi,Landmarks,possibly useful,A historic designation that brings a project before a commission; overlaps the parcel-keyed historic status already listed.
s3eh-jdwb,Historic Zoning Districts - 2004,core,A parcel-keyed zoning vintage; one year of the zoning panel.
s66h-h4vp,Slopes 20 Percent Or Greater,possibly useful,"An overlay that triggers extra review (air-quality exposure, steep slope)."
sevw-6tgi,Analysis Neighborhoods - 2020 census tracts assigned to neighborhoods,possibly useful,Analysis neighbourhoods and their tract crosswalk: the geography the permit comparison uses.
sfnk-6tdn,Green_Roofs,not relevant,Greening and landscape layers with no bearing on entitlement.
smdf-6c45,Utility Excavation Permits,not relevant,A Public Works street or right-of-way dataset; not a land-use decision.
srq6-hmpi,San Francisco ZIP Codes,not relevant,A map view; the dataset it draws carries the data.
st6c-ij8w,Historic Special Use Districts - 2011,not relevant,A map view; the dataset it draws carries the data.
t65d-x6p8,Air Pollutant Exposure Zone,possibly useful,"An overlay that triggers extra review (air-quality exposure, steep slope)."
ta46-stby,Green Connections Network,not relevant,Greening and landscape layers with no bearing on entitlement.
thsi-uh4u,Historic Height & Bulk Districts - 2009,not relevant,A map view; the dataset it draws carries the data.
ti28-5szz,Historic Height & Bulk Districts - 2010,not relevant,A map view; the dataset it draws carries the data.
tmnf-yvry,Police Department Incident Reports: Historical 2003 to May 2018,not relevant,Matches the word 'planning' in its text; nothing to do with land-use regulation.
tsdh-z53a,HistoricZoningDistricts2008,core,A parcel-keyed zoning vintage; one year of the zoning panel.
ttns-6zj3,Planning Districts,not relevant,A map view; the dataset it draws carries the data.
tyz3-vt28,PermitSF Permitting Data,possibly useful,PermitSF submission-to-issuance times with record numbers and parcels; recent and small.
u3m4-4qjy,Historic Height & Bulk Districts - 2012,not relevant,A map view; the dataset it draws carries the data.
u4br-5hb8,Historic Zoning Districts - 2009,not relevant,A map view; the dataset it draws carries the data.
u7ag-wi48,Equity Strategy Neighborhoods,not relevant,A map view; the dataset it draws carries the data.
u8bf-s4hg,Historic Zoning Districts - 2005,not relevant,A map view; the dataset it draws carries the data.
ubjr-y9qw,ARCHIVED: Tenderloin Tent Count,not relevant,Matches the word 'planning' in its text; nothing to do with land-use regulation.
uihu-8bih,Map of Historic Special Use Districts - 2014,not relevant,A map view; the dataset it draws carries the data.
ujhp-tya6,Planning Department's Current Planning Team Boundaries,possibly useful,"A Planning Department administrative geography (district, area, team boundary), useful only as a grouping."
umwe-sn9p,SFEC Form 3410A - Registration Report for Permit Consultants,possibly useful,Registered permit consultants and their filings: who is paid to move permits.
uq3t-6t53,San Francisco ZIP Codes,possibly useful,ZIP code areas: the parcel-to-ZIP step the Zillow indices need.
us3s-fp9q,[ARCHIVED] Map of Land Use - 2020,not relevant,A map view; the dataset it draws carries the data.
utj8-tgqr,Historic Zoning Districts - Jan 2015,not relevant,A map view; the dataset it draws carries the data.
uuiu-f3qh,Commerce & Industry Inventory 2012 Data,not relevant,"Annual commerce and industry reports as documents, 2011--2012."
v25p-yprq,San Francisco Environmental Justice Communities Map,not relevant,A map view; the dataset it draws carries the data.
v5ic-hjgw,Maher,possibly useful,Sites subject to the Maher ordinance (contamination): a construction-cost shifter by site.
v8fd-x8ui,HSS View-Medical Enrollment by Employees,not relevant,Matches the word 'planning' in its text; nothing to do with land-use regulation.
v9w2-c8v7,Map of Historic Zoning Districts - 2006,not relevant,A map view; the dataset it draws carries the data.
vc6r-v7av,San Francisco Municipal Natural Gas Equipment Inventory,not relevant,An energy or emissions dataset for existing buildings.
vfz8-awmy,Historic Zoning Districts - 2012,core,"A polygon zoning vintage, joined spatially into the zoning panel."
vgqy-2ca4,Existing Buildings - Basic Info and Audit Compliance Status,not relevant,An energy or emissions dataset for existing buildings.
vmnk-skih,San Francisco Plant Finder Data,not relevant,Greening and landscape layers with no bearing on entitlement.
vnrd-fpg7,Landmark Districts,not relevant,A map view; the dataset it draws carries the data.
w3j2-4hed,Historic Zoning Districts - 2010,not relevant,A map view; the dataset it draws carries the data.
wr3x-ijzr,Map of On-street Carshare Parking,not relevant,A map view; the dataset it draws carries the data.
x4gj-zjx7,Historic Zoning Districts - 2010,core,"A polygon zoning vintage, joined spatially into the zoning panel."
x83f-ux29,City Construction Projects to Proceed During Shelter-in-place,not relevant,"City capital projects and facilities; public works, not private development."
x89n-qawp,Planning Department Neighborhood Quadrants,not relevant,A map view; the dataset it draws carries the data.
xdgd-c79v,Budget,not relevant,Matches the word 'planning' in its text; nothing to do with land-use regulation.
